Epoch,valid accuracy,train accuracy
1,0.058823529411764705,0.2696078431372549
2,0.7254901960784313,0.5245098039215687
3,0.5686274509803921,0.5735294117647058
4,0.7058823529411765,0.6421568627450981
5,0.47058823529411764,0.6372549019607843
6,0.5490196078431373,0.696078431372549
7,0.6862745098039216,0.75
8,0.9215686274509803,0.8382352941176471
9,0.8431372549019608,0.8333333333333334
10,0.7058823529411765,0.8921568627450981
11,0.6470588235294118,0.8480392156862745
12,0.7450980392156863,0.8921568627450981
13,0.7450980392156863,0.9215686274509803
14,0.5686274509803921,0.8872549019607843
15,0.5686274509803921,0.9215686274509803
16,0.5686274509803921,0.9215686274509803
17,0.5490196078431373,0.9215686274509803
18,0.5490196078431373,0.9509803921568627
19,0.7647058823529411,0.9509803921568627
20,0.8823529411764706,0.9607843137254902
21,0.8627450980392157,0.9362745098039216
22,0.9019607843137255,0.9313725490196079
23,0.7058823529411765,0.9558823529411765
24,0.5686274509803921,0.9558823529411765
25,0.5686274509803921,0.9656862745098039
26,0.6470588235294118,0.9656862745098039
27,0.8431372549019608,0.9656862745098039
28,0.9411764705882353,0.9558823529411765
29,0.9607843137254902,0.9705882352941176
30,0.9607843137254902,0.9362745098039216
31,0.9411764705882353,0.9754901960784313
32,0.9411764705882353,0.9705882352941176
33,0.9215686274509803,0.9754901960784313
34,0.9019607843137255,0.9754901960784313
35,0.9019607843137255,0.9852941176470589
36,0.9019607843137255,0.9754901960784313
37,0.9019607843137255,0.9754901960784313
38,0.9019607843137255,0.9705882352941176
39,0.9411764705882353,0.9754901960784313
40,0.9411764705882353,0.9754901960784313
41,0.9411764705882353,0.9803921568627451
42,0.9019607843137255,0.9803921568627451
43,0.9411764705882353,0.9705882352941176
44,0.9215686274509803,0.9656862745098039
45,0.9215686274509803,0.9852941176470589
46,0.5686274509803921,0.9705882352941176
47,0.5686274509803921,0.9607843137254902
48,0.5686274509803921,0.946078431372549
49,0.8431372549019608,0.9656862745098039
50,0.8627450980392157,0.9705882352941176
51,0.8823529411764706,0.9558823529411765
52,0.9607843137254902,0.9656862745098039
53,0.9607843137254902,0.9705882352941176
54,0.9607843137254902,0.9509803921568627
55,0.9411764705882353,0.9656862745098039
56,0.9607843137254902,0.9558823529411765
57,0.9019607843137255,0.9068627450980392
58,0.8823529411764706,0.9362745098039216
59,0.9215686274509803,0.9362745098039216
60,0.9607843137254902,0.9558823529411765
61,0.9411764705882353,0.9411764705882353
62,0.9607843137254902,0.9558823529411765
63,0.9607843137254902,0.9803921568627451
64,0.9411764705882353,0.9754901960784313
65,0.9411764705882353,0.9803921568627451
66,0.9411764705882353,0.9656862745098039
67,0.9411764705882353,0.9803921568627451
68,0.9215686274509803,0.9607843137254902
69,0.9215686274509803,0.9754901960784313
70,0.9215686274509803,0.9705882352941176
71,0.9607843137254902,0.9803921568627451
72,0.9019607843137255,0.9754901960784313
73,0.9215686274509803,0.9607843137254902
74,0.9607843137254902,0.9558823529411765
75,0.9607843137254902,0.9558823529411765
76,0.9607843137254902,0.9754901960784313
77,0.9215686274509803,0.9705882352941176
78,0.9019607843137255,0.9705882352941176
79,0.9411764705882353,0.9411764705882353
80,0.9411764705882353,0.9607843137254902
81,0.8235294117647058,0.9754901960784313
82,0.6274509803921569,0.9754901960784313
83,0.6470588235294118,0.9411764705882353
84,0.7058823529411765,0.9558823529411765
85,0.9215686274509803,0.9411764705882353
86,0.9019607843137255,0.9705882352941176
87,0.9019607843137255,0.9754901960784313
88,0.9215686274509803,0.9803921568627451
89,1.0,0.9803921568627451
90,0.9607843137254902,0.9803921568627451
91,0.9607843137254902,0.9950980392156863
92,0.9607843137254902,0.9852941176470589
93,0.9607843137254902,0.9852941176470589
94,0.9411764705882353,0.9656862745098039
95,0.9215686274509803,0.9754901960784313
96,0.9411764705882353,0.9705882352941176
97,0.8235294117647058,0.9607843137254902
98,0.7647058823529411,0.946078431372549
99,0.5882352941176471,0.9411764705882353
100,0.6078431372549019,0.9215686274509803
101,0.6274509803921569,0.8676470588235294
102,0.6470588235294118,0.8970588235294118
103,0.8235294117647058,0.8872549019607843
104,0.7647058823529411,0.8529411764705882
105,0.7647058823529411,0.8774509803921569
106,0.9411764705882353,0.9313725490196079
107,0.9215686274509803,0.9215686274509803
108,0.9411764705882353,0.946078431372549
109,0.9803921568627451,0.9362745098039216
110,0.9019607843137255,0.9313725490196079
111,0.8627450980392157,0.9754901960784313
112,0.9019607843137255,0.9558823529411765
113,0.8627450980392157,0.9852941176470589
114,0.8627450980392157,0.9558823529411765
115,0.8431372549019608,0.9656862745098039
116,0.8431372549019608,0.9705882352941176
117,0.8823529411764706,0.946078431372549
118,0.8823529411764706,0.9705882352941176
119,0.8627450980392157,0.9656862745098039
120,0.9019607843137255,0.9705882352941176
121,0.9803921568627451,0.9411764705882353
122,0.9607843137254902,0.9607843137254902
123,0.9607843137254902,0.9803921568627451
124,0.9411764705882353,0.9705882352941176
125,0.9607843137254902,0.9656862745098039
